posicao,titulo,dataLeitura,ano,duracao,classificacao,nota
1,Guerra Civil,4/15/2024,2024,1h 49m,18,76
1,Guerra Civil,4/19/2024,2024,1h 49m,18,76
1,Guerra Civil,4/20/2024,2024,1h 49m,18,76
1,Guerra Civil,4/21/2024,2024,1h 49m,18,76
1,Guerra Civil,4/22/2024,2024,1h 49m,18,76
1,Guerra Civil,4/23/2024,2024,1h 49m,18,76
1,Guerra Civil,4/24/2024,2024,1h 49m,18,76
1,Guerra Civil,4/25/2024,2024,1h 49m,18,76
1,Guerra Civil,4/26/2024,2024,1h 49m,18,76
1,Guerra Civil,4/27/2024,2024,1h 49m,18,76
1,Guerra Civil,4/29/2024,2024,1h 49m,18,76
1,Guerra Civil,4/30/2024,2024,1h 49m,18,76
1,Guerra Civil,5/2/2024,2024,1h 49m,18,76
1,Guerra Civil,5/3/2024,2024,1h 49m,18,76
4,Guerra Civil,5/6/2024,2024,1h 49m,18,76
4,Guerra Civil,5/7/2024,2024,1h 49m,18,76
4,Guerra Civil,5/8/2024,2024,1h 49m,18,76
4,Guerra Civil,5/9/2024,2024,1h 49m,18,76
4,Guerra Civil,5/11/2024,2024,1h 49m,18,76
7,Guerra Civil,5/13/2024,2024,1h 49m,18,76
7,Guerra Civil,5/14/2024,2024,1h 49m,18,76
7,Guerra Civil,5/15/2024,2024,1h 49m,18,76
7,Guerra Civil,5/16/2024,2024,1h 49m,18,76
7,Guerra Civil,5/17/2024,2024,1h 49m,18,76
7,Guerra Civil,5/18/2024,2024,1h 49m,18,76
7,Guerra Civil,5/19/2024,2024,1h 49m,18,76
16,Guerra Civil,5/21/2024,2024,1h 49m,18,76
16,Guerra Civil,5/22/2024,2024,1h 49m,18,76
16,Guerra Civil,5/23/2024,2024,1h 49m,18,76
16,Guerra Civil,5/24/2024,2024,1h 49m,18,76
16,Guerra Civil,5/25/2024,2024,1h 49m,18,76
16,Guerra Civil,5/26/2024,2024,1h 49m,18,76
12,Guerra Civil,5/29/2024,2024,1h 49m,18,76
12,Guerra Civil,5/30/2024,2024,1h 49m,18,76
2,Duna: Parte 2,4/15/2024,2024,2h 46m,14,87
2,Duna: Parte 2,4/19/2024,2024,2h 46m,14,87
2,Duna: Parte 2,4/20/2024,2024,2h 46m,14,87
2,Duna: Parte 2,4/21/2024,2024,2h 46m,14,87
2,Duna: Parte 2,4/22/2024,2024,2h 46m,14,87
2,Duna: Parte 2,4/23/2024,2024,2h 46m,14,87
2,Duna: Parte 2,4/24/2024,2024,2h 46m,14,87
2,Duna: Parte 2,4/25/2024,2024,2h 46m,14,87
2,Duna: Parte 2,4/26/2024,2024,2h 46m,14,87
2,Duna: Parte 2,4/27/2024,2024,2h 46m,14,87
7,Duna: Parte 2,4/29/2024,2024,2h 46m,14,87
7,Duna: Parte 2,4/30/2024,2024,2h 46m,14,87
7,Duna: Parte 2,5/2/2024,2024,2h 46m,14,87
7,Duna: Parte 2,5/3/2024,2024,2h 46m,14,87
6,Duna: Parte 2,5/6/2024,2024,2h 46m,14,87
6,Duna: Parte 2,5/7/2024,2024,2h 46m,14,87
6,Duna: Parte 2,5/8/2024,2024,2h 46m,14,87
6,Duna: Parte 2,5/9/2024,2024,2h 46m,14,87
6,Duna: Parte 2,5/11/2024,2024,2h 46m,14,87
11,Duna: Parte 2,5/13/2024,2024,2h 46m,14,87
11,Duna: Parte 2,5/14/2024,2024,2h 46m,14,87
11,Duna: Parte 2,5/15/2024,2024,2h 46m,14,87
11,Duna: Parte 2,5/16/2024,2024,2h 46m,14,87
11,Duna: Parte 2,5/17/2024,2024,2h 46m,14,87
11,Duna: Parte 2,5/18/2024,2024,2h 46m,14,87
11,Duna: Parte 2,5/19/2024,2024,2h 46m,14,87
18,Duna: Parte 2,5/21/2024,2024,2h 46m,14,87
18,Duna: Parte 2,5/22/2024,2024,2h 46m,14,87
18,Duna: Parte 2,5/23/2024,2024,2h 46m,14,87
18,Duna: Parte 2,5/24/2024,2024,2h 46m,14,87
18,Duna: Parte 2,5/25/2024,2024,2h 46m,14,87
18,Duna: Parte 2,5/26/2024,2024,2h 46m,14,87
7,Duna: Parte 2,5/29/2024,2024,2h 46m,14,87
7,Duna: Parte 2,5/30/2024,2024,2h 46m,14,87
3,Coringa: Delírio a Dois,4/15/2024,2024,,R,NULL
3,Coringa: Delírio a Dois,4/19/2024,2024,,R,NULL
3,Coringa: Delírio a Dois,4/20/2024,2024,,R,NULL
3,Coringa: Delírio a Dois,4/21/2024,2024,,R,NULL
16,Coringa: Delírio a Dois,4/22/2024,2024,,R,NULL
16,Coringa: Delírio a Dois,4/23/2024,2024,,R,NULL
16,Coringa: Delírio a Dois,4/24/2024,2024,,R,NULL
16,Coringa: Delírio a Dois,4/25/2024,2024,,R,NULL
16,Coringa: Delírio a Dois,4/26/2024,2024,,R,NULL
16,Coringa: Delírio a Dois,4/27/2024,2024,,R,NULL
45,Coringa: Delírio a Dois,4/29/2024,2024,,R,NULL
45,Coringa: Delírio a Dois,4/30/2024,2024,,R,NULL
45,Coringa: Delírio a Dois,5/2/2024,2024,,R,NULL
45,Coringa: Delírio a Dois,5/3/2024,2024,,R,NULL
4,Fúria Primitiva,4/15/2024,2024,2h 1m,R,73
4,Fúria Primitiva,4/19/2024,2024,2h 1m,R,73
4,Fúria Primitiva,4/20/2024,2024,2h 1m,R,73
4,Fúria Primitiva,4/21/2024,2024,2h 1m,R,73
8,Fúria Primitiva,4/22/2024,2024,2h 1m,R,73
8,Fúria Primitiva,4/23/2024,2024,2h 1m,R,73
8,Fúria Primitiva,4/24/2024,2024,2h 1m,R,73
8,Fúria Primitiva,4/25/2024,2024,2h 1m,R,73
8,Fúria Primitiva,4/26/2024,2024,2h 1m,R,73
8,Fúria Primitiva,4/27/2024,2024,2h 1m,R,73
9,Fúria Primitiva,4/29/2024,2024,2h 1m,R,73
9,Fúria Primitiva,4/30/2024,2024,2h 1m,R,73
9,Fúria Primitiva,5/2/2024,2024,2h 1m,R,73
9,Fúria Primitiva,5/3/2024,2024,2h 1m,R,73
11,Fúria Primitiva,5/6/2024,2024,2h 1m,R,73
11,Fúria Primitiva,5/7/2024,2024,2h 1m,R,73
11,Fúria Primitiva,5/8/2024,2024,2h 1m,R,73
11,Fúria Primitiva,5/9/2024,2024,2h 1m,R,73
11,Fúria Primitiva,5/11/2024,2024,2h 1m,R,73
24,Fúria Primitiva,5/13/2024,2024,2h 1m,R,73
24,Fúria Primitiva,5/14/2024,2024,2h 1m,R,73
24,Fúria Primitiva,5/15/2024,2024,2h 1m,R,73
24,Fúria Primitiva,5/16/2024,2024,2h 1m,R,73
24,Fúria Primitiva,5/17/2024,2024,2h 1m,R,73
24,Fúria Primitiva,5/18/2024,2024,2h 1m,R,73
24,Fúria Primitiva,5/19/2024,2024,2h 1m,R,73
39,Fúria Primitiva,5/21/2024,2024,2h 1m,R,73
39,Fúria Primitiva,5/22/2024,2024,2h 1m,R,73
39,Fúria Primitiva,5/23/2024,2024,2h 1m,R,73
39,Fúria Primitiva,5/24/2024,2024,2h 1m,R,73
39,Fúria Primitiva,5/25/2024,2024,2h 1m,R,73
39,Fúria Primitiva,5/26/2024,2024,2h 1m,R,73
56,Fúria Primitiva,5/29/2024,2024,2h 1m,R,73
56,Fúria Primitiva,5/30/2024,2024,2h 1m,R,73
5,Godzilla e Kong: O Novo Império,4/15/2024,2024,1h 55m,12,65
5,Godzilla e Kong: O Novo Império,4/19/2024,2024,1h 55m,12,65
5,Godzilla e Kong: O Novo Império,4/20/2024,2024,1h 55m,12,65
5,Godzilla e Kong: O Novo Império,4/21/2024,2024,1h 55m,12,65
6,Godzilla e Kong: O Novo Império,4/22/2024,2024,1h 55m,12,65
6,Godzilla e Kong: O Novo Império,4/23/2024,2024,1h 55m,12,65
6,Godzilla e Kong: O Novo Império,4/24/2024,2024,1h 55m,12,65
6,Godzilla e Kong: O Novo Império,4/25/2024,2024,1h 55m,12,65
6,Godzilla e Kong: O Novo Império,4/26/2024,2024,1h 55m,12,65
6,Godzilla e Kong: O Novo Império,4/27/2024,2024,1h 55m,12,65
15,Godzilla e Kong: O Novo Império,4/29/2024,2024,1h 55m,12,65
